listing_id,id,date,reviewer_id,reviewer_name,comments
5731498,29457107,2015-04-07,23095855,Paolo,"The house is beautiful, we were the first guests and everything was perfect. the house is actually a typical town center house with kind of courtyard, but more than anything else: it is in the very center of plaka, in the middle of it all.
Furniture classy design (design chairs of XX century masters) and all comforts.
George was very helpful: we needed a hair dryer and he got it to us the first day. Also very nice in arranging times of departure and baggage drop off. Really, super. Thanks"
5731498,31016835,2015-04-30,31804508,Catherine,"Magnifique maison bourgeoise au centre de Plaka, au coeur de la vieille ville et tout au pied de l'Acropole!  Un vrai bonheur, à 5 mn des principaux monuments et musées, à proximité des restaurants et des bars où l'on peut déguster un bon déjeuner grec en contemplant le Panthéon."
5731498,31974621,2015-05-12,25774985,Sam,Lovely apartment. Host was helpful. Very clean. Great location.
5731498,32256117,2015-05-16,27845791,Di,Our experience in George's house is really great. The house is in an wonderful location and the rooms are large.
5731498,32659424,2015-05-19,33411612,Antonis,"Το σπιτάκι είναι εξαιρετικό, ανακαινισμένο, φωτεινό με μικρή εσσωτερική αυλή και πάνω απ όλα σε φανταστική περιοχή. Βρίσκεται μόνο δευτερόλεπτα μακριά από το μετρό Ακρόπολης και το Μουσείο.

Ο Γιώργος απάντησε άμεσα, το σπίτι ήταν πεντακάθαρο και όλα ήταν ομαλά. Σίγουρα θα ξαναπάω! "
5731498,33153814,2015-05-25,4158744,Turid Og Erling,"The apartment had a wonderful location in Plaka and was nice, clean and spatious! We didnt meet George but he was communicating politely in messages and offered transport at reasonable prices to/from airpot/port and the apartment. Unfortunately we did not get the message about how to turn on aircondition and hot water until the second day but his helper came and fixed it."
5731498,33458512,2015-05-28,9867287,Annie,"George was a great host and very quick in communicating. He helped secure transport to the airport and his driver was very friendly and prompt. Someone met us at the apartment to show us around and give restaurant suggestions. The location of this apartment could not be better as you are right in the Plaka on a pedestrian street and within a 2 minute walk of a back (and less crowded) entrance of the Acropolis. We had so much fun exploring all of the streets of the Plaka and trying many different cafes, restaurants and bars. You have to try the Gyros in Monastiraki Square which was an excellent place to people watch.

The apartment itself was wonderful. Very spacious, full of light and had everything we needed, even a hookah! The Acropoli Metro station was maybe 2 minutes away. We took the metro from the Ferry port which was an experience for sure!
Thanks for everything George!"
5731498,33932927,2015-06-02,30841515,Tracey,"The house was wonderful - clean, well-appointed and in a great location in Plaka. Very close to the Acropolis Museum and the Acropolis itself. A bit noisy as the house is on a busy Plaka street. But this only adds to the atmosphere. We were a party of 5 and would stay here again.
My only concern is the small size of the bathroom, but this is not major. "
5731498,34258600,2015-06-06,1929948,Ben,"This apartment was great!

We didn't meet George but his employee met us at the apartment and helped us get situated. It was in the center of all the heavy tourist action (just as we hoped), clean, and looked just like it does in the photos here. All the appliances and fixtures worked well, including the hot water and shower.

One thing to keep in mind: the apartment is on the ground floor and the bedrooms look out onto a busy, touristy street. This is, in my opinion, a great feature! However, street noise might be an issue for some. It didn't bother us at all but it is worth mentioning."
5731498,34554503,2015-06-09,21784822,David,"My family of 5 had a great experience spending three nights at George's Vyronos St flat in the Plaka. Location was even better than expected in a very clean upscale pedestrian only area.
Very easy access to the Acropolis. The Acropolis was a short block or two away.
George was very responsive and easy to deal with. He arranged a reasonably priced airport transfer which was a welcome comfort after our long flight. Would definitely recommend our experience to others."
5731498,34784812,2015-06-12,32072646,Rick,Great location. Very clean. George arranged transfers from airport which was very helpful. Everything you need to see and great restaurants are all in walking distance.
5731498,35112068,2015-06-15,33278513,Mariana,"I had a wonderful stay at George's house in Plaka. The place is exactly as shown in the pictures, beautiful and impeccably clean. The house is very spacious and it's location couldn't be better. Plaka is one of the nicest neighbourhoods in Athens, with all major attractions at walking distance. George was very thoughtful and had everything organised for our late arrival (after midnight). He also gently accepted my request for a late check out. I would definitely recommend this place, not only for the amazing house but also for its thoughtful host.   "
5731498,37146146,2015-07-05,4397982,Natalia,"The apartment is located in the best imaginable spot in Athens - on a walking street in Plaka walking distance to several subway stops (Acropolis Museum is the closest - 3 min away).  It has a large beautiful yard as well.  The street stays lively during the day, but it has good windows and with the fan on, one can rest during the day. It is quiet at night. The apartment was clean and had all the modern conveniences.  It has air-conditioning in the living room and one bedroom and a fen in each.  One can leave the door of the 2nd bedroom open for air.  The only major downside is that the bathroom is outdated and small, but the location and size compensate for it.  The host was also very responsive to all communication and our needs! "
5731498,37626151,2015-07-08,40967,Erica,"George was one of the most efficient hosts I have ever encountered, and the flat in Plaka was hands-down the most beautiful apartment I saw in Athens (or practically anywhere), with huge windows and high ceilings that stream in the sun. The place was sparkling clean when we arrived, check-in was easy, and the location just could not be beat. George was super prompt with answering any questions or responding to any of our problems (even when we stupidly locked ourselves out of the house, George came to our rescue immediately!). One of the most professional and courteous Airbnb experiences I have ever had, and one of the loveliest Airbnb flats I have ever had the privilege to stay in! Thanks again~"
5731498,37754282,2015-07-10,34061966,Katie,"Location was excellent, just a couple blocks from the grande promenade and the Temple of Zeus. Apartment was clean and easy to get to."
5731498,38432199,2015-07-15,37003377,Long,"We didn't meet George but the driver check us into the apartment.  We dropped the luggage there and came back after the maid cleaned the apartment. Very nice apartment and perfect location next to Acropolis, metro, Plaka street, cool AC in living room and one bedroom. George also helped to arrange a private half day tour to Sounion and transfer back to airport. Make sure good  correspondence with George and his office upfront.  Recommended Appartment and service."
1108690,4616454,2013-05-15,6108106,Lily,"Just came back from a wonderful trip to Athens :)

The studio could not have been better located: it is in the middle of everything! Yet, I enjoyed quiet and silence when I was there: to me, it is priceless.

The place is just as described and seen in the pictures. It is therefore quite simple, but it has all the basics needed if you're just looking for a place to sleep and rest. When I arrived, everything was clean and neat and Leonidas left a plate of fruits as a welcoming gift.

Leonidas is a very kind host who made everything easy. He was waiting for me at the metro station and gave me tips. When the wifi didn't work, without even asking, he gave me a partial refund.
I only regret not to have been able to attend his concert!

Positive: the location, the host, the silence, the price.
Negative: don't expect to cook or entertain people. Only bare necessities are available. However, it is a very good for value  place!

Overall: would definitely come back :) Thank you for everything!


"
1108690,4693013,2013-05-20,3579072,Aimee,"Stayed for the weekend... perfect location! Close to everything... Acropolis and Parthenon within walking distance, some good restaurants on the same street and nearby.  Leon was a very good host and the studio was very clean and comfortable! Highly recommended!"
1108690,4912921,2013-06-01,3270462,Michael,"Great location, good space, very nice host and great value!"
1108690,5008305,2013-06-07,6002893,Eileen,"Leonidas was very helpful and friendly. He met us at the apartment and gave us advice as to how to find  different areas. What a great location - right next to the Acropolis!   Many wonderful places to eat near by.
"
1108690,5046380,2013-06-09,4962335,Ryan,"Perfect location, clean apartment and friendly host! Would recommend "
1108690,5073154,2013-06-10,2504555,Eleonore,"The apartment is an oasis of quiet conveniently located in the center. Leonidas is a thoughtful and friendly host.
Great experience and value."
1108690,5087730,2013-06-11,5068583,Esther,A lovely studio apartment right behind the new acropolis museum. It's a great place to stay at if you're looking for a place where you can do your sightseeing at the acropolis all day. Not to mention that the acropolis station is one stop away from the Symtanga square which makes it very convenient. Coming from the airport was hassle free! Leonidas was a great host too! :)
1108690,5215401,2013-06-18,3679396,Cécile,"Good spot to visit the acropolis and Athens ( near subway, easy to go to the airport). Leonidas is friendly and helpful.
The place to stay !"
1108690,5301921,2013-06-23,5660042,Tammy,"Convenient little flat in a great location!  Very kind, friendly host.  Only negative was confusion about check-in and dates but answered my call and was at the flat with keys in 10 minutes so no big deal.  Highly recommend!"
1108690,5399773,2013-06-28,6351267,Saphia,"Nous avons passés une nuit chez leonidas. Bien que nous soyons arrivés en avance, il était la pour nous accueillir . Le studio etait simple mais propre et comfortable. Point important, le studio est très proche du metro acropolis (pratique pour rejoindre l aeroport ) , de l'acropole et des restos , dans un quartier tranquille. Enfin, Leonidas est une personne charmante et disponible. Bref, a recommander! Merci encore Leonidas"
1108690,5512604,2013-07-03,4248460,Christopher,Nice little place next to the Acropolis museum. Very close to subway station and many interesting (tourist) spots.
1108690,5551806,2013-07-05,4524561,Christine,"Leonidas is a wonderful host, and the apartment is just perfect for a few days in Athens - centrally located (next to the Akropolis and a delicious family-run restaurant), yet really quiet and cozy. We really enjoyed our stay. Thank you, Leonidas!"
1108690,5566993,2013-07-06,5594057,Molly,Leonidas's apartment is well aituated for visiting the Acropolis (right next door to the Acropolis Museum).  Excellent restaurants nearby. It is simply furnished and had everything we needed.
1108690,5610661,2013-07-08,3306430,André,Perfect location and a great host. I can definitely recommend Leonidas appartment
